,0
1_6_542,465.7615864518091
1_12_759,407.92388402687686
1_17_382,358.08235908178415
1_12_539,418.8697429073426
1_17_539,456.57391993556325
1_12_198,377.9774023549409
1_6_704,481.4304294041172
1_6_124,368.8253000901146
1_6_857,473.30433098473014
1_12_808,346.8972444687247
24_6_1170,265.09830845951535
24_6_301,284.43739897620526
1_17_354,367.4518978406309
1_12_394,298.22048318709057
1_12_867,411.34981233037024
1_6_891,221.4712088278422
1_6_302,380.92131147486805
24_17_654,483.2614129281198
24_12_178,223.0449582643347
1_6_813,417.3586550696444
24_17_565,381.84463337146883
24_17_25,261.1817288407541
24_6_1203,192.8669053194891
24_17_230,288.00483859938515
1_12_303,281.6660280899652
1_17_1096,397.93516496003997
1_17_540,440.05036031086956
24_6_968,306.3756398663009
1_12_564,391.3751063789858
24_6_822,304.56644619402476
1_17_678,229.18849888720942
24_12_100,217.2541314624
24_17_550,381.23555134825534
1_12_691,343.64064460684716
1_17_574,291.2294490828883
1_6_201,445.5343929477881
1_12_615,435.7200864059013
24_17_657,407.8831095285001
1_6_853,256.10918161454885
24_6_182,274.48141921582993
1_17_432,458.32068751258316
1_6_992,191.5107705673504
24_17_115,266.20363313308087
24_12_134,218.33428233666734
1_6_1037,118.22651750323286
1_12_1073,150.22599277978338
24_12_355,198.92690284472837
1_12_118,298.67510583670344
1_12_934,524.0784125329932
1_17_407,565.7763838434639
