,0
1_6_542,635.4035753730618
1_6_1114,469.34305490908866
1_12_759,1269.8983646925954
1_17_382,397.3235742328792
1_12_539,434.8849640964818
1_17_539,618.046693230452
1_12_198,1161.5035056844763
1_6_704,1417.9701615489541
1_6_124,446.3845742244538
1_6_857,379.0580699806075
1_12_808,517.5596757338428
24_6_1170,659.0796479962327
24_6_301,195.4942886903679
1_17_354,370.78189193039543
1_12_394,346.0051744432921
1_12_867,319.20191427062684
1_6_891,194.2635298550368
1_6_302,375.2823172703056
24_17_654,93.84305572054161
24_12_178,425.1043740748838
1_6_813,464.39412397597505
24_17_565,708.299750742332
24_17_25,261.1817288407541
24_6_1203,534.6691074356996
24_17_230,691.3679198780922
1_12_303,307.50865716785586
1_12_1152,248.74941691549975
1_17_1096,586.3616259336688
1_17_540,462.0008470122063
1_6_994,302.8416496170556
24_6_968,437.20101672831726
1_12_564,362.29522391954913
1_12_1266,304.6991492183207
24_6_822,627.7208029400172
1_17_678,144.96911351784996
24_12_100,405.4071724071573
24_17_550,419.5762553174825
1_12_691,176.18536822585415
1_17_574,334.6554135753539
1_6_201,450.22001566330135
1_12_615,456.0729991323506
24_17_657,121.29501148670819
1_6_853,344.8653444973994
24_6_182,529.931214569076
1_17_432,856.529026948772
1_6_992,330.93387091682837
24_17_115,492.9233875400605
24_12_134,430.17958477859133
1_6_1037,439.4779424761517
1_12_1073,888.5786324835551
24_12_355,471.93018369293833
1_12_118,298.67510583670344
1_12_934,358.9395890873156
1_17_407,749.8362891299396
